mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999999103751
layer_patch_hidden,hidden_states,1,0.9999999998987638
layer_patch_hidden,hidden_states,2,0.999999999909056
layer_patch_hidden,hidden_states,3,0.9999999999003389
layer_patch_hidden,hidden_states,4,0.9999999998210143
layer_patch_hidden,hidden_states,5,0.999999999730657
layer_patch_hidden,hidden_states,6,0.9999999997612465
layer_patch_hidden,hidden_states,7,0.9999999998678872
layer_patch_hidden,hidden_states,8,0.9999999998953047
layer_patch_hidden,hidden_states,9,0.9999999998902173
layer_patch_hidden,hidden_states,10,0.9999999814300249
layer_patch_hidden,hidden_states,11,0.9999999999902639
layer_patch_mixed,mixed,mixed,0.9997180357075327
layer_patch_repr,repr,repr,0.9695383049940502
pool_weight_transplant,layer_contrib,0,0.9961748263686154
pool_weight_transplant,layer_contrib,1,0.9959497806970297
pool_weight_transplant,layer_contrib,2,0.9946175072955674
pool_weight_transplant,layer_contrib,3,0.9906417004671708
pool_weight_transplant,layer_contrib,4,0.9768008466877447
pool_weight_transplant,layer_contrib,5,0.9302682399237521
pool_weight_transplant,layer_contrib,6,0.8951624639218548
pool_weight_transplant,layer_contrib,7,0.8986134217821574
pool_weight_transplant,layer_contrib,8,0.8390914603566212
pool_weight_transplant,layer_contrib,9,0.5954338984894857
pool_weight_transplant,layer_contrib,10,0.0385045079411385
pool_weight_transplant,layer_contrib,11,0.7695155080370376
