mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999990320705
layer_patch_hidden,hidden_states,1,0.999999999581353
layer_patch_hidden,hidden_states,2,0.999999999674084
layer_patch_hidden,hidden_states,3,0.9999999997446248
layer_patch_hidden,hidden_states,4,0.9999999997241322
layer_patch_hidden,hidden_states,5,0.9999999997842262
layer_patch_hidden,hidden_states,6,0.9999999998159226
layer_patch_hidden,hidden_states,7,0.9999999997981126
layer_patch_hidden,hidden_states,8,0.99999999986555
layer_patch_hidden,hidden_states,9,0.9999999999331994
layer_patch_hidden,hidden_states,10,0.9999999999639404
layer_patch_hidden,hidden_states,11,0.9999999960170888
layer_patch_mixed,mixed,mixed,0.9999973211746839
layer_patch_repr,repr,repr,0.9932688464457855
pool_weight_transplant,layer_contrib,0,0.9841839289935592
pool_weight_transplant,layer_contrib,1,0.9860133724120569
pool_weight_transplant,layer_contrib,2,0.9849626304225647
pool_weight_transplant,layer_contrib,3,0.9814274679455279
pool_weight_transplant,layer_contrib,4,0.954673654108043
pool_weight_transplant,layer_contrib,5,0.9295219856301967
pool_weight_transplant,layer_contrib,6,0.8647843947334425
pool_weight_transplant,layer_contrib,7,0.7461461370244805
pool_weight_transplant,layer_contrib,8,0.7232435648054188
pool_weight_transplant,layer_contrib,9,0.7180522992718257
pool_weight_transplant,layer_contrib,10,0.6959593405126672
pool_weight_transplant,layer_contrib,11,0.056452063258768115
