model,seed,eer,eer_ci_lower,eer_ci_upper,min_dcf,min_dcf_ci_lower,min_dcf_ci_upper,auc,auc_ci_lower,auc_ci_upper,f1_macro,n_samples
wavlm_erm,42,0.084715,0.083946,0.085431,0.216348,0.213943,0.218419,0.972365,0.972041,0.972744,0.879979,680774
wavlm_erm,123,0.081746,0.080994,0.082518,0.209982,0.207799,0.212004,0.974203,0.973853,0.974544,0.883870,680774
wavlm_erm,456,0.073185,0.072413,0.073844,0.194189,0.191919,0.195948,0.974843,0.974501,0.975175,0.894948,680774
wavlm_erm,789,0.071527,0.070759,0.072295,0.190625,0.188255,0.192437,0.978320,0.978013,0.978659,0.897422,680774
wavlm_erm,2024,0.081139,0.080415,0.081887,0.210591,0.208087,0.212579,0.972137,0.971773,0.972506,0.884655,680774
wavlm_erm,mean,0.078462,0.077705,0.079195,0.204347,0.202000,0.206277,0.974374,0.974036,0.974726,0.888175,
wavlm_erm,std,0.005766,0.005774,0.005776,0.011250,0.011223,0.011382,0.002493,0.002508,0.002478,0.007574,
wavlm_erm_aug,42,0.075895,0.075186,0.076579,0.197714,0.195390,0.199959,0.976291,0.975981,0.976626,0.891605,680774
wavlm_erm_aug,123,0.083971,0.083163,0.084744,0.215506,0.213305,0.217557,0.973009,0.972660,0.973374,0.880957,680774
wavlm_erm_aug,456,0.089640,0.088892,0.090492,0.226478,0.224094,0.228346,0.970039,0.969653,0.970403,0.873566,680774
wavlm_erm_aug,789,0.089669,0.088865,0.090408,0.225855,0.223495,0.227922,0.970156,0.969810,0.970534,0.873528,680774
wavlm_erm_aug,2024,0.087284,0.086544,0.088047,0.221235,0.219089,0.223426,0.971426,0.971063,0.971794,0.876627,680774
wavlm_erm_aug,mean,0.085292,0.084530,0.086054,0.217357,0.215075,0.219442,0.972184,0.971833,0.972546,0.879257,
wavlm_erm_aug,std,0.005746,0.005724,0.005791,0.011829,0.011821,0.011728,0.002590,0.002614,0.002576,0.007541,
wavlm_dann,42,0.080094,0.079284,0.080792,0.206749,0.204282,0.208699,0.974651,0.974330,0.975006,0.886049,680774
wavlm_dann,123,0.082581,0.081827,0.083354,0.212505,0.210257,0.214762,0.973769,0.973420,0.974121,0.882779,680774
wavlm_dann,456,0.086490,0.085774,0.087256,0.220312,0.218053,0.222313,0.971996,0.971634,0.972337,0.877662,680774
wavlm_dann,789,0.068695,0.067961,0.069382,0.180811,0.178635,0.182748,0.979952,0.979663,0.980258,0.901221,680774
wavlm_dann,2024,0.069357,0.068601,0.070067,0.182756,0.180539,0.184843,0.979393,0.979091,0.979701,0.900303,680774
wavlm_dann,mean,0.077443,0.076689,0.078170,0.200626,0.198353,0.202673,0.975952,0.975627,0.976285,0.889603,
wavlm_dann,std,0.008019,0.008020,0.008050,0.017875,0.017826,0.017910,0.003534,0.003563,0.003513,0.010622,
w2v2_erm,42,0.153013,0.152149,0.153951,0.371708,0.368894,0.374160,0.906791,0.906122,0.907505,0.795414,680774
w2v2_erm,123,0.163612,0.162662,0.164638,0.390310,0.387450,0.392785,0.912160,0.911438,0.912836,0.783112,680774
w2v2_erm,456,0.172632,0.171572,0.173571,0.407309,0.404351,0.409597,0.904358,0.903693,0.905112,0.772749,680774
w2v2_erm,789,0.153337,0.152306,0.154196,0.372314,0.369764,0.374793,0.920324,0.919686,0.920992,0.795085,680774
w2v2_erm,2024,0.163828,0.162973,0.164699,0.392296,0.389544,0.394814,0.912075,0.911366,0.912764,0.782866,680774
w2v2_erm,mean,0.161285,0.160332,0.162211,0.386787,0.384001,0.389230,0.911141,0.910461,0.911842,0.785845,
w2v2_erm,std,0.008250,0.008218,0.008270,0.015006,0.014897,0.014952,0.006147,0.006155,0.006117,0.009550,
w2v2_erm_aug,42,0.170642,0.169651,0.171568,0.401654,0.398758,0.403991,0.905928,0.905208,0.906650,0.775021,680774
w2v2_erm_aug,123,0.176490,0.175441,0.177550,0.413983,0.411078,0.416649,0.901125,0.900349,0.901877,0.768349,680774
w2v2_erm_aug,456,0.158694,0.157685,0.159656,0.379809,0.376817,0.382155,0.916155,0.915533,0.916870,0.788822,680774
w2v2_erm_aug,789,0.160965,0.159962,0.161859,0.388023,0.385326,0.390357,0.914627,0.913978,0.915318,0.786183,680774
w2v2_erm_aug,2024,0.170094,0.169209,0.170945,0.403161,0.400257,0.405574,0.907302,0.906590,0.908015,0.775652,680774
w2v2_erm_aug,mean,0.167377,0.166389,0.168315,0.397326,0.394447,0.399745,0.909027,0.908331,0.909746,0.778805,
w2v2_erm_aug,std,0.007375,0.007375,0.007407,0.013450,0.013444,0.013558,0.006269,0.006329,0.006251,0.008490,
w2v2_dann,42,0.163921,0.162993,0.164815,0.391155,0.388510,0.393659,0.912194,0.911515,0.912899,0.782760,680774
w2v2_dann,123,0.157584,0.156600,0.158635,0.379006,0.376163,0.381645,0.917921,0.917220,0.918595,0.790116,680774
w2v2_dann,456,0.157080,0.156120,0.158032,0.377563,0.374728,0.379962,0.917996,0.917380,0.918702,0.790701,680774
w2v2_dann,789,0.142702,0.141750,0.143529,0.348973,0.346284,0.351193,0.929808,0.929210,0.930432,0.807662,680774
w2v2_dann,2024,0.152103,0.151314,0.153057,0.368167,0.365383,0.370506,0.923028,0.922387,0.923674,0.796538,680774
w2v2_dann,mean,0.154678,0.153755,0.155614,0.372973,0.370214,0.375393,0.920189,0.919543,0.920860,0.793555,
w2v2_dann,std,0.007901,0.007891,0.007941,0.015710,0.015704,0.015836,0.006604,0.006635,0.006571,0.009279,
