model,codec,metric,seed42,seed123,seed456,seed789,seed2024,mean,std
wavlm_erm,C01,eer,0.074893,0.072059,0.065533,0.065665,0.073205,0.070271,0.004383
wavlm_erm,C01,min_dcf,0.183962,0.179531,0.160576,0.164463,0.178324,0.173371,0.010219
wavlm_erm,C02,eer,0.058831,0.058425,0.050112,0.050964,0.053961,0.054459,0.004068
wavlm_erm,C02,min_dcf,0.148617,0.145414,0.127368,0.129430,0.139280,0.138022,0.009432
wavlm_erm,C03,eer,0.078997,0.077661,0.068792,0.065718,0.077441,0.073722,0.006032
wavlm_erm,C03,min_dcf,0.196121,0.191308,0.171699,0.167933,0.190989,0.183610,0.012824
wavlm_erm,C04,eer,0.106781,0.104424,0.099490,0.095870,0.104854,0.102284,0.004482
wavlm_erm,C04,min_dcf,0.278842,0.276300,0.269695,0.265455,0.282840,0.274627,0.007008
wavlm_erm,C05,eer,0.060950,0.056839,0.041386,0.038476,0.048277,0.049186,0.009661
wavlm_erm,C05,min_dcf,0.147955,0.139862,0.108421,0.102475,0.119755,0.123694,0.019679
wavlm_erm,C06,eer,0.068530,0.064280,0.051138,0.048903,0.057927,0.058155,0.008367
wavlm_erm,C06,min_dcf,0.164857,0.155893,0.132651,0.124469,0.147235,0.145021,0.016523
wavlm_erm,C07,eer,0.124997,0.122765,0.119352,0.115086,0.126953,0.121830,0.004711
wavlm_erm,C07,min_dcf,0.325461,0.320215,0.310911,0.309288,0.336820,0.320539,0.011277
wavlm_erm,C08,eer,0.102189,0.100520,0.097860,0.092948,0.107509,0.100205,0.005375
wavlm_erm,C08,min_dcf,0.249708,0.245581,0.240185,0.233673,0.259703,0.245770,0.009839
wavlm_erm,C09,eer,0.099736,0.097185,0.090592,0.087955,0.100376,0.095169,0.005591
wavlm_erm,C09,min_dcf,0.240140,0.234354,0.226606,0.222963,0.250954,0.235003,0.011144
wavlm_erm,C10,eer,0.108986,0.107496,0.102868,0.101522,0.119823,0.108139,0.007232
wavlm_erm,C10,min_dcf,0.263841,0.257650,0.255516,0.253764,0.289649,0.264084,0.014789
wavlm_erm,C11,eer,0.081853,0.077083,0.064486,0.060530,0.072286,0.071247,0.008778
wavlm_erm,C11,min_dcf,0.198484,0.187530,0.158552,0.151242,0.178479,0.174857,0.019720
wavlm_erm,NONE,eer,0.056849,0.052691,0.038293,0.034817,0.042823,0.045095,0.009393
wavlm_erm,NONE,min_dcf,0.142479,0.135319,0.101515,0.092737,0.108955,0.116201,0.021649
wavlm_erm_aug,C01,eer,0.068908,0.075104,0.078887,0.079797,0.076673,0.075874,0.004308
wavlm_erm_aug,C01,min_dcf,0.167655,0.185693,0.189869,0.193727,0.187717,0.184932,0.010106
wavlm_erm_aug,C02,eer,0.053556,0.059355,0.062981,0.064631,0.062235,0.060551,0.004352
wavlm_erm_aug,C02,min_dcf,0.138712,0.152038,0.154511,0.159031,0.154536,0.151766,0.007721
wavlm_erm_aug,C03,eer,0.073110,0.079503,0.082822,0.083626,0.081461,0.080104,0.004211
wavlm_erm_aug,C03,min_dcf,0.181714,0.197108,0.201984,0.204550,0.199719,0.197015,0.008985
wavlm_erm_aug,C04,eer,0.098109,0.104932,0.110297,0.109906,0.108135,0.106276,0.005032
wavlm_erm_aug,C04,min_dcf,0.268114,0.275342,0.286661,0.284566,0.279757,0.278888,0.007451
wavlm_erm_aug,C05,eer,0.046542,0.060141,0.068285,0.069120,0.065936,0.062005,0.009329
wavlm_erm_aug,C05,min_dcf,0.120121,0.146392,0.168756,0.169570,0.162173,0.153402,0.020802
wavlm_erm_aug,C06,eer,0.057154,0.066850,0.075976,0.075742,0.072968,0.069738,0.007939
wavlm_erm_aug,C06,min_dcf,0.142637,0.165399,0.181965,0.180081,0.175037,0.169024,0.016088
wavlm_erm_aug,C07,eer,0.117685,0.123395,0.127675,0.127241,0.124472,0.124094,0.004014
wavlm_erm_aug,C07,min_dcf,0.313429,0.320465,0.328773,0.328019,0.322714,0.322680,0.006247
wavlm_erm_aug,C08,eer,0.098660,0.104062,0.102745,0.103628,0.102189,0.102257,0.002140
wavlm_erm_aug,C08,min_dcf,0.237958,0.253421,0.255397,0.256567,0.253201,0.251309,0.007594
wavlm_erm_aug,C09,eer,0.092839,0.101632,0.101866,0.103177,0.100407,0.099984,0.004113
wavlm_erm_aug,C09,min_dcf,0.232946,0.244862,0.244403,0.246603,0.242991,0.242361,0.005419
wavlm_erm_aug,C10,eer,0.105966,0.109888,0.110620,0.111039,0.109352,0.109373,0.002013
wavlm_erm_aug,C10,min_dcf,0.260638,0.266939,0.259957,0.262242,0.259363,0.261828,0.003053
wavlm_erm_aug,C11,eer,0.067611,0.079638,0.088513,0.088308,0.085414,0.081897,0.008753
wavlm_erm_aug,C11,min_dcf,0.167778,0.197558,0.217322,0.216434,0.208292,0.201477,0.020446
