mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999990320705
layer_patch_hidden,hidden_states,1,0.999999999581353
layer_patch_hidden,hidden_states,2,0.999999999674084
layer_patch_hidden,hidden_states,3,0.9999999997446248
layer_patch_hidden,hidden_states,4,0.9999999997241322
layer_patch_hidden,hidden_states,5,0.9999999997842262
layer_patch_hidden,hidden_states,6,0.9999999998159226
layer_patch_hidden,hidden_states,7,0.9999999997981126
layer_patch_hidden,hidden_states,8,0.99999999986555
layer_patch_hidden,hidden_states,9,0.9999999999331994
layer_patch_hidden,hidden_states,10,0.9999999999639404
layer_patch_hidden,hidden_states,11,0.9999999960170888
layer_patch_mixed,mixed,mixed,0.9987711564066445
layer_patch_repr,repr,repr,0.986430694478305
pool_weight_transplant,layer_contrib,0,0.9257514829784858
pool_weight_transplant,layer_contrib,1,0.9768950100296528
pool_weight_transplant,layer_contrib,2,0.9652481557222222
pool_weight_transplant,layer_contrib,3,0.9848829891905462
pool_weight_transplant,layer_contrib,4,0.9742003525303214
pool_weight_transplant,layer_contrib,5,0.9560434501498525
pool_weight_transplant,layer_contrib,6,0.9042938748001367
pool_weight_transplant,layer_contrib,7,0.8208301822341624
pool_weight_transplant,layer_contrib,8,0.8269745536941465
pool_weight_transplant,layer_contrib,9,0.8139967261821603
pool_weight_transplant,layer_contrib,10,0.7289444414352987
pool_weight_transplant,layer_contrib,11,0.06336631802182907
