layer,erm_accuracy,dann_accuracy,reduction,relative_reduction
0,0.4728,0.4728,0.0,0.0
1,0.4614000000000001,0.4614000000000001,0.0,0.0
2,0.4328,0.4328,0.0,0.0
3,0.4152,0.4152,0.0,0.0
4,0.36879999999999996,0.36879999999999996,0.0,0.0
5,0.34880000000000005,0.34880000000000005,0.0,0.0
6,0.3316,0.3316,0.0,0.0
7,0.3426,0.3426,0.0,0.0
8,0.345,0.345,0.0,0.0
9,0.37139999999999995,0.37139999999999995,0.0,0.0
10,0.3734,0.3734,0.0,0.0
11,0.3882,0.3882,0.0,0.0
repr,0.39360000000000006,0.3908,0.00280000000000008,0.007113821138211585
